model,val_mae,val_rmse,test_mae,test_rmse,vs_baseline_%,beats_baseline
GRU,2.351004411678617,3.0179918504495213,2.3447779570060527,3.0001268850814893,-8.92820145782571,True
LSTM,2.3635103847706165,3.0612289914495197,2.355236493970586,3.0133243295707466,-8.521989104696962,True
CNN1D,2.3351744836570516,2.9937518907381766,2.383179093481365,3.0494113408607086,-7.436691119108739,True
Transformer,2.4185156384529773,3.0930261126600054,2.4504519498484467,3.1072145353605927,-4.823795512463596,True
Linear,2.413449317907651,3.077424787767257,2.564536624391477,3.245076236061675,-0.39271645626212875,True
Persistence,2.555289453124606,3.2991136805503074,2.5746476895591486,3.3681787125973464,0.0,False
Climatology,3.6514553380798476,4.564900974553345,3.7122183255503733,4.685663260361605,44.18354560137929,False
TrainMean,5.897700742340784,7.124774865543009,6.922005185489166,8.490807515323034,168.85251964995672,False
