model,val_mae,val_rmse,test_mae,test_rmse,vs_baseline_%,beats_baseline
Transformer,2.3879592792633324,3.0615263445564644,2.401874248217103,3.0670811085180065,-6.710566344385124,True
Persistence,2.555289453124606,3.2991136805503074,2.5746476895591486,3.3681787125973464,0.0,False
Climatology,3.6514553380798476,4.564900974553345,3.7122183255503733,4.685663260361605,44.18354560137929,False
TrainMean,5.897700742340784,7.124774865543009,6.922005185489166,8.490807515323034,168.85251964995672,False
